LASP1,2492.3,2449.8,2623.6,2443.9,2872.6,2920.8,2604.8,2738,2606.6,2605.1,2410.5,2629.1,2519.4,2730.5,2777.2,2812.2,2454.1,2568,2586.4,2473.6,2841.2,2897.7,2515.9,2508,2508.8,2061.1,2387,2424.1,2338.4,2503,2771.6,3031.7,2993.5,3127.8,2840,3090.1,2847.7,3030.5,2802.6,2928.4,3006.9,2699.4,2640.2,2508,2570.1,2454.9,2291.5,2609.5,2359.7,2565.7,3189.6,2583.5,2467,2350.7,2514.4,2470.8,2218.5,
PHB,2370.6,1822.5,2420.8,2218.4,2410,2198.8,2155.2,2155.5,2106.8,2212.2,2209.3,2308.1,2245.5,2157.2,2191.7,2307.4,2739.6,2435.8,2238,2405.8,2218.3,2281.5,2367.6,2526.6,2617.9,2049.3,2599.1,2085.8,2375.6,1973.9,1859,1948,1988.8,2063.7,1730.9,1779.9,2435.6,2110.1,2180.9,2074.4,2048.8,2174.3,1981.3,2052.4,1889.4,1948.4,2024.6,1706,2533.5,2220.7,2326.5,2313.3,2271.4,2053,2003.8,2174.7,2045.7,
PHB,786.2,700,867.4,774.4,845.5,814.2,806.6,795.8,803.9,822.3,750.9,798.7,802.3,762.3,796.7,821.5,888.2,797,881.9,878.3,875.8,796.5,855.8,861.8,887.1,798.6,884.1,780.4,924.6,768.7,777.6,799.1,874,870.5,798.7,715,872.9,947.4,862.1,820.7,800.1,772.9,799.3,802.9,689,829.8,878.5,731.9,898.6,864.6,853.3,791.5,957.8,704.8,763.5,744.8,748.2,
GPX1,4.1,3.4,2.7,4.6,2,2.3,5.9,3.2,2.7,4.1,2.9,1.9,2.7,1.8,1.6,2.4,5.5,2.7,4.1,5.2,2.1,2.1,4,4.3,5.8,11.3,9.6,3.2,4.4,2.4,6.1,2.3,1.7,2.9,3.7,1.5,5.2,3.8,4.4,6.6,3.5,5.1,5.9,2.2,3.2,37.3,4.3,4.8,4.2,2.4,5,5.7,3.5,4.9,6.1,3.1,3.6,
CTSD,834.1,514.5,2015.9,1754.3,1720.9,1778.4,1393.1,1213.4,1431,2126.1,1572.2,1346,1975.3,1470,1255.3,1351.5,1480.1,1518.2,1700.5,1464.9,1516.9,1358.4,1261.2,1659.9,847.8,1214.2,1109.5,951.1,1062.3,838.7,1542.7,1727,1545.1,1635.5,1612,1462.1,1437,1852,1846,1498.6,1442.7,1710.2,1484.3,1630.7,1370.1,1690.1,1303.6,1513.6,1532.1,1160.1,1384.1,1418.2,1550.2,1316.5,1157.1,1455.3,1390.4,
GSTP1,66.2,9.9,49.8,20.4,17,30.6,50.4,18.2,32,54.1,24.9,18.9,57.9,46.4,32.7,19.4,88.7,14.1,28.3,37.1,37.1,34.2,30.8,20.6,66.4,85.1,83.5,32.3,64.1,39.3,45.8,78.3,16.2,18.4,42,39,39.3,30.4,41,50.4,32.4,30.9,47.6,35.5,35,58.5,56.5,43.8,49.4,56.9,39.5,49.7,53.7,76.4,64.9,53.3,35.7,
RHOC,2776.7,1426,3757.9,3947.1,3704.7,3544.3,3872.4,3645.5,3581.1,3460.2,3348.4,3422.9,3779.4,3275.3,3430.7,3695.5,3990.3,3434.9,4046.9,3820.4,3965.4,3579.4,3767.9,4009.6,3477.9,3238.5,3158.4,3467.3,3669.3,1961.2,2756.5,2715.7,3256.8,3453.3,3750.6,3803.8,3190.5,3777,3659.3,3129.4,3557.2,3583.6,3557,2620.3,2200.5,3097,2974.8,2850.9,2418.8,3035.6,3158.6,3551.7,2912.3,2808.2,2750,3185.2,3046.7,
STAT1,1939.2,2836.1,2179.7,2213,2150.7,2426.8,2166.2,2211.4,2154.5,2131.5,2229.8,2296.6,2048.5,2304.4,2061.7,2139.8,2421.4,2238.9,2126.1,1981.6,2089.9,1949.4,2160.9,2297.5,2316.4,2262.6,2320.6,2100.8,1923.6,2585.4,2789.3,2743.1,2451.5,2511.2,2433.5,2362.9,2808.3,2616.8,2606.2,2369.8,2633.7,2465.1,2479.6,2219.2,2290.1,2278.9,2135.7,2262.7,2424.4,2786,2557.9,2556.9,2559.8,2482.6,2565.1,2271.7,2172.9,
CCND2,6.7,5.6,5.2,2,10.4,1.6,4.8,3.3,1.7,14.8,7.1,2.9,1.9,2.1,1.8,1.3,1.9,2.7,2.6,2.3,4.4,8.9,2.6,2.7,4.4,5.5,3.2,2,4.1,1.5,3.1,2.4,1.7,1.6,5.9,2.2,1.7,17,5.9,1.9,2.4,1.3,1.7,5.2,4.2,29,2.5,2.7,1.9,4.8,6.4,3.2,3,48.3,11.7,2.4,3.5,
CCND2,25.7,15.2,9.4,11.2,41.5,5.6,8.8,21.9,2.9,1.6,20.8,16.6,36.2,14,11.4,5,28,3,3.1,2.3,28.1,1.8,6.2,19.8,2,3.5,8.8,6,7.2,6.9,2.2,15.4,18.8,4.3,5.3,22.5,23.9,2.4,3.3,2.3,2.7,2.5,21.1,4.6,13.8,3.6,3.2,7.2,7.9,3.2,30.8,34.9,5.9,12.2,21.9,9.2,3.6,
